,Company Name,Company Code
113,GREATTOWN HOLDINGS LTD.,600094
114,"XIANGCAI CO.,LTD",600095
115,"YUNNAN YUNTIANHUA CO.,LTD",600096
116,"SHANGHAI KAICHUANG MARINE INTERNATIONAL CO.,LTD.",600097
117,Guangzhou Development Group Incorporated,600098
118,"LINHAI CO.,LTD.",600099
119,"TSINGHUA TONGFANG CO., LTD",600100
120,"SICHUAN MINGXING ELECTRIC POWER CO.,LTD",600101
121,"Fujian Qingshan Paper Industry Co.,Ltd.",600103
122,SAIC Motor Corporation Limited,600104
123,"JIANGSU ETERN CO., LTD.",600105
124,"CHONGQING ROAD & BRIDGE CO.,LTD",600106
125,"GANSU YASHENG INDUSTRIAL（GROUP）CO.,LTD",600108
126,"SINOLINK SECURITIES CO., LTD.",600109
127,"NUODE INVESTMENT CO.,LTD",600110
128,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",600111
129,"ZHE JIANG DONG RI CO., LTD",600113
130,"NBTM NEW MATERIALS GROUP Co., Ltd.",600114
131,China Eastern Airlines Corporation Limited,600115
132,"Chongqing Three Gorges Water Conservancy And Electric Power Co.,Ltd.",600116
133,"XINING SPECIAL STEEL CO.,LTD",600117
134,"China Spacesat Co.,Ltd.",600118
135,"Y.U.D Yangtze River Investment Industry Co.,Ltd.",600119
136,"Zhejiang Orient Financial Holdings Group Co., Ltd.",600120
137,"ZHENGZHOU COAL INDUSTRY & ELECTRIC POWER CO.,LTD.",600121
138,"Shanxi Lanhua Sci-tech Venture Co.,Ltd",600123
139,"CHINA RAILWAY TIELONG CONTAINER LOGISTICS CO., LTD",600125
140,"HangZhou Iron And Steel Co.,Ltd.",600126
141,"JINJIAN CEREALS INDUSTRY CO.,LTD.",600127
142,SOHO HOLLY CORPORATION,600128
143,"CHONGQING TAIJI INDUSTRY(GROUP) CO.,LTD",600129
144,"STATE GRID INFORMATION&COMMUNICATION CO.,LTD.",600131
145,Chongqing Brewery Company Limited,600132
146,"WUHAN EAST LAKE HIGH TECHNOLOGY GROUPE CO.,LTD.",600133
147,LUCKY FILM COMPANY LIMITED,600135
148,Sichuan Langsha　holding　CO.LTD,600137
149,"CHINA CYTS TOURS HOLDING CO.,LTD.",600138
150,phenix optics  company limited,600071
151,"CSSC Science & Technology Co., Ltd",600072
152,"SHANGHAI BRIGHT MEAT GROUP CO.,LTD.",600073
153,"XINJIANG TIANYE CO.,LTD.",600075
154,"Kangxin New Materials Co., Ltd.",600076
155,"Jiangsu Chengxing Phosph-Chemical Co.,Ltd",600078
156,GINWA ENTERPRISE(GROUP) INC.,600080
157,"DONG FENG ELECTRONIC TECHNOLOGY CO.,LITD.",600081
158,"Tianjin Hi-Tech Development Co., Ltd.",600082
159,"CITIC NIYA WINE CO., LTD.",600084
160,"BEIJING TONG REN TANG CO., LTD",600085
161,"China Television Media,Ltd.",600088
162,"TBEA CO.,LTD.",600089
163,GREATTOWN HOLDINGS LTD.,600094
164,"XIANGCAI CO.,LTD",600095
165,"YUNNAN YUNTIANHUA CO.,LTD",600096
166,"SHANGHAI KAICHUANG MARINE INTERNATIONAL CO.,LTD.",600097
167,Guangzhou Development Group Incorporated,600098
168,"LINHAI CO.,LTD.",600099
169,"TSINGHUA TONGFANG CO., LTD",600100
170,"SICHUAN MINGXING ELECTRIC POWER CO.,LTD",600101
171,"Fujian Qingshan Paper Industry Co.,Ltd.",600103
172,SAIC Motor Corporation Limited,600104
173,"JIANGSU ETERN CO., LTD.",600105
174,"CHONGQING ROAD & BRIDGE CO.,LTD",600106
175,"GANSU YASHENG INDUSTRIAL（GROUP）CO.,LTD",600108
176,"SINOLINK SECURITIES CO., LTD.",600109
177,"NUODE INVESTMENT CO.,LTD",600110
178,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",600111
179,"ZHE JIANG DONG RI CO., LTD",600113
180,"NBTM NEW MATERIALS GROUP Co., Ltd.",600114
181,China Eastern Airlines Corporation Limited,600115
182,"Chongqing Three Gorges Water Conservancy And Electric Power Co.,Ltd.",600116
183,"XINING SPECIAL STEEL CO.,LTD",600117
184,"China Spacesat Co.,Ltd.",600118
185,"Y.U.D Yangtze River Investment Industry Co.,Ltd.",600119
186,"Zhejiang Orient Financial Holdings Group Co., Ltd.",600120
187,"ZHENGZHOU COAL INDUSTRY & ELECTRIC POWER CO.,LTD.",600121
188,"Shanxi Lanhua Sci-tech Venture Co.,Ltd",600123
189,"CHINA RAILWAY TIELONG CONTAINER LOGISTICS CO., LTD",600125
190,"HangZhou Iron And Steel Co.,Ltd.",600126
191,"JINJIAN CEREALS INDUSTRY CO.,LTD.",600127
192,SOHO HOLLY CORPORATION,600128
193,"CHONGQING TAIJI INDUSTRY(GROUP) CO.,LTD",600129
194,"STATE GRID INFORMATION&COMMUNICATION CO.,LTD.",600131
195,Chongqing Brewery Company Limited,600132
196,"WUHAN EAST LAKE HIGH TECHNOLOGY GROUPE CO.,LTD.",600133
197,LUCKY FILM COMPANY LIMITED,600135
198,Sichuan Langsha　holding　CO.LTD,600137
199,"CHINA CYTS TOURS HOLDING CO.,LTD.",600138
200,phenix optics  company limited,600071
201,"CSSC Science & Technology Co., Ltd",600072
202,"SHANGHAI BRIGHT MEAT GROUP CO.,LTD.",600073
203,"XINJIANG TIANYE CO.,LTD.",600075
204,"Kangxin New Materials Co., Ltd.",600076
205,"Jiangsu Chengxing Phosph-Chemical Co.,Ltd",600078
206,GINWA ENTERPRISE(GROUP) INC.,600080
207,"DONG FENG ELECTRONIC TECHNOLOGY CO.,LITD.",600081
208,"Tianjin Hi-Tech Development Co., Ltd.",600082
209,"CITIC NIYA WINE CO., LTD.",600084
210,"BEIJING TONG REN TANG CO., LTD",600085
211,"China Television Media,Ltd.",600088
212,"TBEA CO.,LTD.",600089
213,GREATTOWN HOLDINGS LTD.,600094
214,"XIANGCAI CO.,LTD",600095
215,"YUNNAN YUNTIANHUA CO.,LTD",600096
216,"SHANGHAI KAICHUANG MARINE INTERNATIONAL CO.,LTD.",600097
217,Guangzhou Development Group Incorporated,600098
218,"LINHAI CO.,LTD.",600099
219,"TSINGHUA TONGFANG CO., LTD",600100
220,"SICHUAN MINGXING ELECTRIC POWER CO.,LTD",600101
221,"Fujian Qingshan Paper Industry Co.,Ltd.",600103
222,SAIC Motor Corporation Limited,600104
223,"JIANGSU ETERN CO., LTD.",600105
